Smarhon’,54.4762327,26.3981493
Hanover,44.1498975,-81.0202533
Laiponda,-9.8625,119.8963
Semënov,56.7889481,44.5018318
Los Mangos,20.543509,-97.4252917
Wushi,31.491169,120.31191
Almaguer,1.8739231,-76.8201976
Vicente Guerrero,23.7321074,-103.9832684
Haozigang,29.265944,112.073961
Meishan,30.07728,103.848396
Strömsund,63.8471115,15.533251
Frankfurt am Main,50.041381,8.5800547
Hongyuan,32.790891,102.544405
Iba,14.6230693,120.9964652
Famatina,-34.6473284,-58.4184031
Hartford,41.7644599,-72.6729522
Taradale,-39.5365944,176.8492097
Hadano,35.4114708,139.1499529
Maoya,43.785358,126.6858739
Nangkapayung,0.4994734,101.4095405
Banjar Kubu,-8.25944,115.566002
Bondoboghila,-9.4116,119.3532
Hanyin Chengguanzhen,32.897014,108.492371
Bech,49.7523363,6.3655038
Nakhon Pathom,13.81967,100.0601382
Puksoozero,62.587277,40.61071
Los Juríes,-27.7668733,-64.2415554
Kamienna Góra,50.9449228,20.5669483
Monrovia,6.2907432,-10.7605239
Piterka,50.6666667,47.4333333
Miaoqian,31.285638,121.227856
Ilesa,7.6395498,4.7588042
Shuangshan,31.26179,121.423664
Shinshiro,35.1982076,136.9683227
Faqqū‘ah,32.48998,35.40163
Yongchang,38.243169,101.984648
Mayo,6.6802044,101.4112049
Pospelikha,51.9886098,81.8433417
Belajen,-3.3226005,119.8245506
Tobilolong,-8.521,123.5353
Berdyans’k,46.7737707,36.8034779
Serra Negra,-22.6148577,-46.7057601
Kitami,35.6362613,139.5885895
Banjar Paangkelod,-8.6791477,115.1786531
Pushkinskiye Gory,57.0228035,28.9142107
Ngampon,-7.440509,110.5826261
Joutseno,61.1174188,28.5010914
Zhuangtou,39.65688,117.295545
Mbandjok,4.4495458,11.9062829
Yaozhou,34.909793,108.980102
Balzers,47.0655826,9.5074526
Kaliwates,-8.189193,113.6740257
Sudogda,55.951057,40.8600241
Krajenka,53.29667,16.99062
Santiago,-29.1051592,-54.8731219
Duancun,29.134418,115.762844
Talanga,14.4137091,-87.0873978
Muye,35.315039,113.908772
Ciherang,-6.5864219,106.7441048
Jinping,23.365556,116.70345
Tres Isletas,-26.3374785,-60.4304186
Pasco,-32.9508446,-60.7032578
Dajalorong,-7.0609,113.7136
Linköping,58.3234233,15.602105
Cipicung,-6.9375866,108.5522531
Oslo,59.9173309,10.8180311
Bebedouro,-20.9400441,-48.4812248
Punaauia,-17.623,-149.6045718
Nelson,49.4928119,-117.2948343
Sandaoba,44.109264,87.626156
Fangxiang,32.504051,119.389592
Mauloo,-8.7517433,122.0183914
Yingcheng,30.92837,113.572707
Kajisara,-6.87792,115.50689
Marisgama,-8.9117,117.684
Astorga,-23.2400211,-51.6639768
Lianpeng,30.646759,111.276255
Prokhladnyy,56.07458,92.8703415
Hirara,24.8051928,125.2789544
Yalagüina,13.4817182,-86.4920736
Mafa,0.125082,127.876503
Bailieborough,53.916791,-6.9711886
Yuntan,31.88344,107.426375
Turbiv,49.3448284,28.7228609
Zheleznovodsk,44.0854864,43.1007634
Lingqiao,23.3941709,116.7164574
Ústí nad Labem,50.7070737,14.0050148
Solomenskoye,61.8319048,34.3054029
Tuzhai,25.865243,107.220508
Ponta do Sol,17.2004826,-25.0925624
Okaya,35.0475045,136.1219714
Quanxi,23.7247599,108.8076195
Fonte da Aldeia,41.4390535,-6.3931513
Ticrapo,-13.3833585,-75.4361391
Sibulan,9.338682,123.291063
Zagórze,50.3539899,19.4629659
Antipolo,14.5697565,121.0247172
Pasargunung,-6.238938,106.7893078
Rantīs,32.029973,35.018973
Gerong,-6.2002533,106.8221628
